ts_code,name,last_chg
801740.SI,国防军工,5.014539247390237
801120.SI,食品饮料,4.626256709260823
801010.SI,农林牧渔,4.540788690075392
801110.SI,家用电器,3.1680170114501305
801750.SI,计算机,2.3832113544816735
801880.SI,汽车,2.238422434500875
801760.SI,传媒,1.9254990596801136
801210.SI,休闲服务,1.7532203099213328
801130.SI,纺织服装,1.4443597560975574
801200.SI,商业贸易,0.9254574390771042
801030.SI,化工,0.6944903217282139
801040.SI,钢铁,0.6754791217785439
801730.SI,电气设备,0.6106216624231164
801020.SI,采掘,0.5248060499380758
801050.SI,有色金属,0.28249383585770005
801720.SI,建筑装饰,0.2493557491716647
801890.SI,机械设备,0.05454982525565644
801170.SI,交通运输,0.05037181227536269
801150.SI,医药生物,-0.26130735584170006
801790.SI,非银金融,-0.4422117489302102
801160.SI,公用事业,-0.5278929231383844
801140.SI,轻工制造,-0.670381375726592
801780.SI,银行,-0.768624076862412
801080.SI,电子,-0.8164385682764452
801770.SI,通信,-0.9645754486772296
801710.SI,建筑材料,-0.9863244366108637
801230.SI,综合,-1.0047528369947267
801180.SI,房地产,-1.704464762947444
