ts_code,name,last_chg
850141.SI,饲料,8.17647631843521
851323.SI,女装,7.837077056614183
851115.SI,家电零部件,7.3843777940339805
852121.SI,酒店,7.253565682676832
850171.SI,畜禽养殖,6.176978937053423
851231.SI,白酒,5.908012387699202
850935.SI,船舶制造,5.75794120324018
850913.SI,商用载客车,5.745290697898708
851242.SI,调味发酵品,5.70053507906616
857411.SI,航天装备,5.205856407420573
850344.SI,其他纤维,5.158427357519102
851111.SI,冰箱,5.050928207655669
857421.SI,航空装备,4.990950195570676
850383.SI,磷化工及磷酸盐,4.449894642301966
852243.SI,营销服务,4.443548088360583
850811.SI,集成电路,4.185374510815154
857431.SI,地面兵装,3.8493794745878773
850615.SI,耐火材料,3.777326250336621
851613.SI,燃机发电,3.6898499356733616
850712.SI,机械基础件,3.626629470466969
850372.SI,聚氨酯,3.5875643305806504
851114.SI,小家电,3.401404536604291
850361.SI,轮胎,3.296619428644876
850345.SI,氨纶,3.2346416487997187
851233.SI,其他酒类,3.1916616069621595
852033.SI,多业态零售,3.1636481081215306
852111.SI,人工景点,3.1336732492081465
851112.SI,空调,2.913906975508862
850725.SI,冶金矿采化工设备,2.7161810595196068
857343.SI,低压设备,2.6842000652533393
852242.SI,影视动漫,2.5464178689486916
851324.SI,休闲服装,2.534691585786475
852225.SI,软件开发,2.4480810690342025
852052.SI,专业市场,2.399416242202279
852226.SI,IT服务,2.394149576980764
851315.SI,辅料,2.3831788067785853
852221.SI,互联网信息服务,2.364459532481167
850321.SI,纯碱,2.3597308393882077
850911.SI,乘用车,2.3491268036219592
857332.SI,风电设备,2.326294782525351
851021.SI,计算机设备,2.228733632451241
851432.SI,家具,2.191311189793743
850921.SI,汽车零部件,2.1547049680904706
850724.SI,重型机械,2.1543985637342944
857242.SI,化学工程,2.074176323150123
850812.SI,分立器件,1.9424082911070784
850341.SI,涤纶,1.927697030022868
850362.SI,其他橡胶制品,1.9240556824121624
851325.SI,鞋帽,1.907433007230952
850711.SI,机床工具,1.9035731003276712
851235.SI,葡萄酒,1.8776386325928263
851312.SI,棉纺,1.8172317173154928
851511.SI,化学原料药,1.8168903946738757
852223.SI,其他互联网服务,1.8064198511851925
851236.SI,黄酒,1.8030378624092291
850912.SI,商用载货车,1.7662583451257596
851561.SI,医疗服务,1.7448891734918703
850324.SI,其他化学原料,1.722112170008927
857241.SI,钢结构,1.7067195882042752
857234.SI,铁路建设,1.624878643711769
851243.SI,乳品,1.6220347986059869
852244.SI,其他文化传媒,1.6118478450532159
850553.SI,铅锌,1.5896666732450493
851781.SI,物流,1.538805238433083
850323.SI,无机盐,1.5221371372168058
850332.SI,磷肥,1.4642104547617496
850813.SI,半导体材料,1.3911223217185853
850531.SI,黄金,1.3856563588630078
850122.SI,水产养殖,1.3439390797881368
